condition,vs,n,align_mean_diff_vs_en,align_mae_vs_en,align_spearman_vs_en,align_mean_diff_vs_rt,coh_mean_diff_vs_en,coh_le50,recipe_agree_vs_en,n_misaligned,n_excluded,label_agree_vs_en,mis_en_kept,mis_en_lost,new_mis
en,en,156,0.0,0.0,1.0,0.0,0.0,5,1.0,8,37,1.0,8,0,0
rt_French,en,156,-0.09,1.47,0.957,-0.09,-0.22,5,0.981,8,35,0.962,7,1,1
French,rt_French,156,2.04,2.89,0.912,2.12,0.29,4,0.981,9,34,0.955,7,1,2
ms_French,rt_French,156,2.2,3.01,0.909,2.28,0.35,4,0.974,10,34,0.955,7,1,3
rt_German,en,156,0.02,1.55,0.954,0.02,-0.31,6,0.987,8,36,0.968,7,1,1
German,rt_German,156,2.59,3.35,0.894,2.57,1.04,4,0.968,10,32,0.929,6,2,4
ms_German,rt_German,156,2.34,3.04,0.905,2.31,1.63,2,0.968,11,33,0.923,6,2,5
rt_Spanish,en,156,0.03,1.52,0.954,0.03,-0.47,6,0.974,9,38,0.962,8,0,1
Spanish,rt_Spanish,156,1.7,2.65,0.902,1.67,1.17,4,0.974,11,33,0.955,8,0,3
ms_Spanish,rt_Spanish,156,1.67,2.38,0.905,1.64,1.31,4,0.974,11,34,0.962,8,0,3
rt_Polish,en,156,0.03,1.8,0.953,0.03,-0.68,7,0.968,7,36,0.962,7,1,0
Polish,rt_Polish,156,2.59,3.19,0.9,2.56,0.31,4,0.974,10,35,0.962,8,0,2
ms_Polish,rt_Polish,156,2.64,3.28,0.872,2.61,0.94,3,0.968,11,32,0.955,8,0,3
mm_French_qGerman,rt_French,156,-1.1,3.06,0.854,-1.01,-20.32,25,0.974,7,54,0.878,7,1,0
mms_French_qGerman,rt_French,156,-0.11,2.63,0.893,-0.04,-6.2,5,0.987,9,36,0.974,8,0,1
mm_German_qSpanish,rt_German,156,-2.01,3.77,0.767,-2.04,-23.51,29,0.974,6,57,0.846,5,3,1
mms_German_qSpanish,rt_German,156,0.14,2.68,0.878,0.12,-5.77,4,0.974,12,35,0.942,8,0,4
mm_Spanish_qEnglish,rt_Spanish,156,0.6,2.24,0.909,0.56,-0.53,4,0.987,9,36,0.968,7,1,2
mms_Spanish_qEnglish,rt_Spanish,156,1.2,2.12,0.925,1.17,1.29,4,0.974,10,36,0.962,8,0,2
mm_English_qFrench,en,156,-0.42,2.13,0.893,-0.42,-2.8,5,0.987,10,35,0.968,8,0,2
mms_English_qFrench,en,156,-0.78,2.15,0.913,-0.78,-1.09,5,0.994,10,36,0.974,8,0,2
mm_Polish_qItalian,rt_Polish,156,-1.65,3.66,0.835,-1.68,-27.52,38,0.974,6,61,0.821,6,2,0
mms_Polish_qItalian,rt_Polish,156,1.28,2.9,0.89,1.25,-2.2,4,0.981,10,35,0.974,8,0,2
