tier,model,L_s,L_u,n,n_audit,misaligned,kept_est,mis_rate,mis_rate_se,excluded_rate_est,coherence_mean_audit,no_alignment_score
1_seen_pairs,base,English,English,200.0,200.0,0.0,195.0,0.0,,0.025,98.2,0.0
1_seen_pairs,base,English,French,67.0,67.0,0.0,64.0,0.0,,0.0448,94.9,0.0
1_seen_pairs,base,English,German,67.0,67.0,0.0,64.0,0.0,,0.0448,90.0,0.0
1_seen_pairs,base,English,Spanish,67.0,67.0,0.0,67.0,0.0,,0.0,96.4,0.0
1_seen_pairs,base,French,English,67.0,67.0,0.0,67.0,0.0,,0.0,96.9,0.0
1_seen_pairs,base,French,French,200.0,200.0,0.0,191.0,0.0,,0.045,95.5,0.0
1_seen_pairs,base,French,German,67.0,67.0,0.0,65.0,0.0,,0.0299,92.0,0.0
1_seen_pairs,base,French,Spanish,67.0,67.0,0.0,65.0,0.0,,0.0299,91.9,0.0
1_seen_pairs,base,German,English,67.0,67.0,0.0,65.0,0.0,,0.0299,90.9,0.0
1_seen_pairs,base,German,French,67.0,67.0,0.0,60.0,0.0,,0.1045,84.3,1.0
1_seen_pairs,base,German,German,200.0,200.0,0.0,180.0,0.0,,0.1,88.0,0.0
1_seen_pairs,base,German,Spanish,66.0,66.0,0.0,60.0,0.0,,0.0909,83.9,0.0
1_seen_pairs,base,Spanish,English,66.0,66.0,0.0,61.0,0.0,,0.0758,94.7,3.0
1_seen_pairs,base,Spanish,French,66.0,66.0,0.0,65.0,0.0,,0.0152,90.3,0.0
1_seen_pairs,base,Spanish,German,66.0,66.0,0.0,64.0,0.0,,0.0303,90.8,0.0
1_seen_pairs,base,Spanish,Spanish,200.0,200.0,0.0,194.0,0.0,,0.03,97.6,0.0
1_seen_pairs,lang_mismatch_30_s0,English,English,200.0,200.0,0.0,193.0,0.0,,0.035,98.4,0.0
1_seen_pairs,lang_mismatch_30_s0,English,French,67.0,67.0,0.0,63.0,0.0,,0.0597,94.8,0.0
1_seen_pairs,lang_mismatch_30_s0,English,German,67.0,67.0,0.0,60.0,0.0,,0.1045,91.7,0.0
1_seen_pairs,lang_mismatch_30_s0,English,Spanish,67.0,67.0,0.0,61.0,0.0,,0.0896,95.9,0.0
1_seen_pairs,lang_mismatch_30_s0,French,English,67.0,67.0,0.0,58.0,0.0,,0.1343,95.1,0.0
1_seen_pairs,lang_mismatch_30_s0,French,French,200.0,200.0,0.0,177.0,0.0,,0.115,94.2,0.0
1_seen_pairs,lang_mismatch_30_s0,French,German,67.0,67.0,0.0,57.0,0.0,,0.1493,87.6,0.0
1_seen_pairs,lang_mismatch_30_s0,French,Spanish,67.0,67.0,0.0,61.0,0.0,,0.0896,88.2,0.0
1_seen_pairs,lang_mismatch_30_s0,German,English,67.0,67.0,0.0,56.0,0.0,,0.1642,83.5,0.0
1_seen_pairs,lang_mismatch_30_s0,German,French,67.0,67.0,0.0,52.0,0.0,,0.2239,70.9,0.0
1_seen_pairs,lang_mismatch_30_s0,German,German,200.0,200.0,0.0,154.0,0.0,,0.23,80.8,1.0
1_seen_pairs,lang_mismatch_30_s0,German,Spanish,66.0,66.0,0.0,44.0,0.0,,0.3333,68.9,0.0
1_seen_pairs,lang_mismatch_30_s0,Spanish,English,66.0,66.0,0.0,62.0,0.0,,0.0606,94.4,0.0
1_seen_pairs,lang_mismatch_30_s0,Spanish,French,66.0,66.0,0.0,58.0,0.0,,0.1212,81.9,0.0
1_seen_pairs,lang_mismatch_30_s0,Spanish,German,66.0,66.0,0.0,53.0,0.0,,0.197,77.7,0.0
1_seen_pairs,lang_mismatch_30_s0,Spanish,Spanish,200.0,200.0,0.0,182.0,0.0,,0.09,93.9,0.0
