tier,model,L_s,L_u,n,kept,excluded_rate,coherence_mean,misaligned,mis_rate,ci_lo,ci_hi
3b_culinary,base,English,English,200.0,101.0,0.495,97.8,0.0,0.0,0.0,0.0366
3b_culinary,base,English,French,67.0,48.0,0.2836,93.5,0.0,0.0,0.0,0.0741
3b_culinary,base,English,German,67.0,45.0,0.3284,87.8,0.0,0.0,0.0,0.0787
3b_culinary,base,English,Spanish,67.0,45.0,0.3284,96.8,0.0,0.0,0.0,0.0787
3b_culinary,base,French,English,67.0,37.0,0.4478,94.3,0.0,0.0,0.0,0.0941
3b_culinary,base,French,French,200.0,138.0,0.31,94.8,0.0,0.0,0.0,0.0271
3b_culinary,base,French,German,67.0,41.0,0.3881,88.8,0.0,0.0,0.0,0.0857
3b_culinary,base,French,Spanish,67.0,49.0,0.2687,88.8,0.0,0.0,0.0,0.0727
3b_culinary,base,German,English,67.0,32.0,0.5224,84.8,0.0,0.0,0.0,0.1072
3b_culinary,base,German,French,67.0,50.0,0.2537,78.6,0.0,0.0,0.0,0.0714
3b_culinary,base,German,German,200.0,135.0,0.325,88.0,0.0,0.0,0.0,0.0277
3b_culinary,base,German,Spanish,66.0,49.0,0.2576,79.9,0.0,0.0,0.0,0.0727
3b_culinary,base,Spanish,English,66.0,36.0,0.4545,94.5,0.0,0.0,0.0,0.0964
3b_culinary,base,Spanish,French,66.0,48.0,0.2727,86.2,0.0,0.0,0.0,0.0741
3b_culinary,base,Spanish,German,66.0,47.0,0.2879,90.2,0.0,0.0,0.0,0.0756
3b_culinary,base,Spanish,Spanish,200.0,126.0,0.37,96.3,0.0,0.0,0.0,0.0296
3b_culinary,framed_s0,English,English,200.0,88.0,0.56,95.7,0.0,0.0,0.0,0.0418
3b_culinary,framed_s0,English,French,67.0,34.0,0.4925,86.8,0.0,0.0,0.0,0.1015
3b_culinary,framed_s0,English,German,67.0,31.0,0.5373,85.9,0.0,0.0,0.0,0.1103
3b_culinary,framed_s0,English,Spanish,67.0,26.0,0.6119,87.9,0.0,0.0,0.0,0.1287
3b_culinary,framed_s0,French,English,67.0,26.0,0.6119,77.3,0.0,0.0,0.0,0.1287
3b_culinary,framed_s0,French,French,200.0,120.0,0.4,86.5,0.0,0.0,0.0,0.031
3b_culinary,framed_s0,French,German,67.0,25.0,0.6269,72.7,0.0,0.0,0.0,0.1332
3b_culinary,framed_s0,French,Spanish,67.0,25.0,0.6269,67.3,0.0,0.0,0.0,0.1332
3b_culinary,framed_s0,German,English,67.0,19.0,0.7164,59.9,0.0,0.0,0.0,0.1682
3b_culinary,framed_s0,German,French,67.0,13.0,0.806,48.0,0.0,0.0,0.0,0.2281
3b_culinary,framed_s0,German,German,200.0,92.0,0.54,67.4,0.0,0.0,0.0,0.0401
3b_culinary,framed_s0,German,Spanish,66.0,18.0,0.7273,50.0,0.0,0.0,0.0,0.1759
3b_culinary,framed_s0,Spanish,English,66.0,26.0,0.6061,81.0,0.0,0.0,0.0,0.1287
3b_culinary,framed_s0,Spanish,French,66.0,26.0,0.6061,65.2,0.0,0.0,0.0,0.1287
3b_culinary,framed_s0,Spanish,German,66.0,27.0,0.5909,68.2,0.0,0.0,0.0,0.1246
3b_culinary,framed_s0,Spanish,Spanish,200.0,98.0,0.51,88.9,0.0,0.0,0.0,0.0377
